                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3072,                 1.2652,                 1.3956,                0.38698,                0.33026,                0.40644,                0.26069,                 1.4763,                 2.1049,                  1.515,               0.000333,               0.000333,               0.000333
                      2,                 1.2934,                 1.1339,                 1.4038,                0.47518,                0.48198,                0.46792,                0.29466,                 1.5466,                 2.1788,                 1.5657,             0.00063995,             0.00063995,             0.00063995
                      3,                 1.2557,                 1.0706,                 1.3811,                0.45536,                0.55928,                0.53709,                0.34834,                 1.4541,                 1.7078,                 1.4948,              0.0009205,              0.0009205,              0.0009205
                      4,                 1.2005,                0.98522,                 1.3468,                0.51791,                0.51103,                0.55929,                 0.3528,                 1.3919,                  1.439,                 1.4158,              0.0008812,              0.0008812,              0.0008812
                      5,                  1.146,                0.90839,                  1.312,                 0.6594,                0.49245,                0.59874,                0.40331,                 1.3638,                 1.2942,                 1.4073,              0.0008416,              0.0008416,              0.0008416
                      6,                 1.1016,                 0.8452,                 1.2846,                0.63763,                0.57141,                0.62909,                0.41943,                 1.2899,                 1.2886,                 1.3533,               0.000802,               0.000802,               0.000802
                      7,                 1.0689,                0.80302,                 1.2611,                 0.6408,                0.54686,                0.62217,                0.42306,                 1.3016,                 1.1555,                 1.3628,              0.0007624,              0.0007624,              0.0007624
                      8,                 1.0358,                 0.7654,                 1.2427,                0.62024,                0.63905,                0.67089,                0.45519,                 1.3037,                 1.1436,                 1.3759,              0.0007228,              0.0007228,              0.0007228
                      9,                 1.0095,                0.73379,                 1.2245,                0.68292,                0.62248,                0.68921,                0.46492,                 1.3149,                0.95781,                 1.3808,              0.0006832,              0.0006832,              0.0006832
                     10,                  0.996,                0.71227,                 1.2119,                 0.6015,                0.69468,                0.69119,                 0.4781,                 1.2961,                0.94054,                 1.3814,              0.0006436,              0.0006436,              0.0006436
                     11,                0.96266,                0.68407,                 1.1924,                0.64758,                0.59412,                0.64212,                0.44226,                 1.2891,                0.99281,                 1.3691,               0.000604,               0.000604,               0.000604
                     12,                0.94699,                0.66583,                 1.1872,                0.75612,                0.62025,                0.69483,                0.46962,                 1.2721,                 1.0226,                 1.3281,              0.0005644,              0.0005644,              0.0005644
                     13,                0.92606,                 0.6469,                 1.1732,                0.70079,                0.65551,                0.69485,                0.49281,                  1.257,                 1.1186,                 1.3442,              0.0005248,              0.0005248,              0.0005248
                     14,                0.90466,                0.62083,                 1.1597,                0.70368,                0.64818,                0.70435,                0.47283,                 1.2806,                0.91688,                 1.3453,              0.0004852,              0.0004852,              0.0004852
                     15,                0.89102,                0.61228,                 1.1534,                0.72536,                0.62125,                0.70232,                0.49098,                 1.2542,                0.88136,                 1.3456,              0.0004456,              0.0004456,              0.0004456
                     16,                0.84948,                 0.4722,                 1.1089,                0.72953,                0.62591,                0.71452,                0.49106,                 1.2476,                0.78571,                 1.3693,               0.000406,               0.000406,               0.000406
                     17,                0.81621,                0.45064,                 1.0907,                0.68597,                0.61377,                0.68804,                0.48245,                 1.2325,                 0.8662,                 1.3266,              0.0003664,              0.0003664,              0.0003664
                     18,                0.79362,                0.43026,                 1.0748,                0.63327,                0.67694,                0.69326,                0.48228,                 1.2304,                0.76594,                 1.3313,              0.0003268,              0.0003268,              0.0003268
                     19,                0.76757,                0.41339,                 1.0588,                0.73773,                0.62366,                0.70631,                0.49611,                 1.2088,                0.83415,                 1.3257,              0.0002872,              0.0002872,              0.0002872
                     20,                0.74232,                0.39613,                 1.0435,                0.69069,                0.64759,                 0.6854,                0.48343,                 1.2006,                 0.7629,                 1.3118,              0.0002476,              0.0002476,              0.0002476
                     21,                0.72499,                0.38516,                 1.0329,                0.69627,                 0.5866,                0.65913,                0.47104,                 1.2005,                0.89818,                 1.3154,               0.000208,               0.000208,               0.000208
                     22,                0.69963,                0.36907,                 1.0188,                0.71808,                0.64028,                0.69092,                0.48918,                 1.2116,                0.77855,                 1.3283,              0.0001684,              0.0001684,              0.0001684
                     23,                0.67823,                0.35602,                 1.0035,                0.68839,                0.66368,                0.68975,                0.48461,                 1.2096,                0.82696,                 1.3269,              0.0001288,              0.0001288,              0.0001288
                     24,                   0.66,                 0.3434,                0.99141,                0.69179,                0.64323,                 0.6925,                0.49131,                  1.204,                0.88846,                 1.3039,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                0.64055,                0.33432,                0.98517,                0.66233,                0.68045,                0.69869,                0.49939,                  1.198,                0.79473,                 1.3105,               4.96e-05,               4.96e-05,               4.96e-05
